CEP	CLIENTES	CATEGORIA	BAIRRO_CANDIDATO	FAMILIAS
74445360	2	BAIRROS_DIFERENTES	FAZENDA CAVEIRA	FAZENDA CAVEIRA (1) | FAZENDA CAVEIRAS (1)
74450170	19	CANDIDATO_REVISAR_PRINCIPAL	CAPUAVA	CAPUAVA (18) | CANDIDA DE MORAES (1)
74450300	4	BAIRROS_DIFERENTES	CAPUAVA	CAPUAVA (2) | JARDIM GRAMADO (1) | PERIM (1)
74450470	6	BAIRROS_DIFERENTES	CAPUAVA	CAPUAVA (5) | MARABA (1)
74455070	6	BAIRROS_DIFERENTES	JARDIM NOVA ESPERANCA	JARDIM NOVA ESPERANCA (5) | NOVA ESPERANCA (1)
74460020	23	CANDIDATO_REVISAR_PRINCIPAL	JARDIM PETROPOLIS	JARDIM PETROPOLIS (22) | JARDIM PETROPLIS (1)
74460110	2	BAIRROS_DIFERENTES	JARDIM PETROPOLIS	JARDIM PETROPOLIS (1) | JARDIM LIBERDADE (1)
74460500	7	BAIRROS_DIFERENTES	JARDIM PETROPOLIS	JARDIM PETROPOLIS (5) | VILA REGINA (2)
74460970	3	BAIRROS_DIFERENTES	VILA FINSOCIAL	VILA FINSOCIAL (1) | MORADA DO SOL (1) | VALE DOS CARAIBAS (1)
74463030	2	BAIRROS_DIFERENTES	SANTOS DUMONT	SANTOS DUMONT (1) | PARQUE INDUSTRIAL PAULISTA (1)
74463100	8	BAIRROS_DIFERENTES	PARQUE INDUSTRIAL PAULISTA	PARQUE INDUSTRIAL PAULISTA (7) | PARQUE INDUSTRIAL (1)
74463150	11	BAIRROS_DIFERENTES	CANDIDA DE MORAIS	CANDIDA DE MORAIS (7) | CANDIDA DE MORAES (3) | CONDOMINIO MARESIA RESIDENCIAL ITAMARACA (1)
74463160	6	BAIRROS_DIFERENTES	CANDIDA DE MORAIS	CANDIDA DE MORAIS (4) | CANDIDA DE MORAES (2)
74463165	19	BAIRROS_DIFERENTES	CANDIDA DE MORAIS	CANDIDA DE MORAIS (12) | CANDIDA DE MORAES (4) | SANTOS DUMONT (2) | CANDIDAS DE MORAIS (1)
74463170	18	BAIRROS_DIFERENTES	CANDIDA DE MORAES	CANDIDA DE MORAES (10) | CANDIDA DE MORAIS (8)
74463190	14	CANDIDATO_REVISAR_PRINCIPAL	CANDIDA DE MORAIS	CANDIDA DE MORAIS (12) | CANDIDA DE MORAES (2)
74463200	44	BAIRROS_DIFERENTES	CANDIDA DE MORAIS	CANDIDA DE MORAIS (31) | CANDIDA DE MORAES (11) | CANDIDADE MORAES (1) | JARDIM NOVA ESPERANCA (1)
74463210	22	BAIRROS_DIFERENTES	CANDIDA DE MORAIS	CANDIDA DE MORAIS (14) | CANDIDA DE MORAES (7) | CENTRO (1)
74463220	29	BAIRROS_DIFERENTES	CANDIDA DE MORAIS	CANDIDA DE MORAIS (16) | CANDIDA DE MORAES (13)
74463230	20	BAIRROS_DIFERENTES	CANDIDA DE MORAIS	CANDIDA DE MORAIS (13) | CANDIDA DE MORAES (7)
74463240	22	BAIRROS_DIFERENTES	CANDIDA DE MORAES	CANDIDA DE MORAES (11) | CANDIDA DE MORAIS (10) | JARDIM NOVA ESPERANCA (1)
74463250	8	BAIRROS_DIFERENTES	CANDIDA DE MORAIS	CANDIDA DE MORAIS (5) | CANDIDA DE MORAES (3)
74463260	23	BAIRROS_DIFERENTES	CANDIDA DE MORAIS	CANDIDA DE MORAIS (16) | CANDIDA DE MORAES (7)
74463270	6	BAIRROS_DIFERENTES	CANDIDA DE MORAIS	CANDIDA DE MORAIS (3) | CANDIDA DE MORAES (2) | SANTOS DUMONT (1)
74463280	292	BAIRROS_DIFERENTES	CANDIDA DE MORAES	CANDIDA DE MORAES (266) | CANDIDA DE MORAIS (22) | JARDIM NOVA ESPERANCA (3) | CANDIDO DE MORAES (1)
74463290	4	BAIRROS_DIFERENTES	CANDIDA DE MORAIS	CANDIDA DE MORAIS (2) | CAPUAVA (1) | CANDIDA DE MORAES (1)
74463317	2	BAIRROS_DIFERENTES	CAPUAVA	CAPUAVA (1) | CANDIDA DE MORAIS (1)
74463320	15	CANDIDATO_REVISAR_PRINCIPAL	CANDIDA DE MORAIS	CANDIDA DE MORAIS (13) | CANDIDA DE MORAES (2)
74463330	16	BAIRROS_DIFERENTES	CANDIDA DE MORAIS	CANDIDA DE MORAIS (10) | CANDIDA DE MORAES (6)
74463340	16	CANDIDATO_REVISAR_PRINCIPAL	SANTOS DUMONT	SANTOS DUMONT (12) | CANDIDA DE MORAES (4)
74463375	2	BAIRROS_DIFERENTES	SANTOS DUMONT	SANTOS DUMONT (1) | CANDIDA DE MORAES (1)
